,Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff,s_out,s_m_inlet,s_s_in,s_diff_out,s_mch,s_mix_in,s_mix_out,s_m_in,s_m_t,s_m_o,ds_diff,ds_mix,ds_mot
164,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00170218725,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005717625,0.046466423671875,81.23475,0.019010674303125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077758341,-0.063199824,-0.014559323,-8.060000000077033e-07,0.99967518,0.99967518,0.0357175452199763,-0.4735455583592805,1.8784728,1.2562529,1.6823651,1.8784735,1.4736038,1.5171267,1.8789443,1.2562529,1.2737478,1.267777,-0.00047079999999999345,0.36181759999999996,0.011524099999999926
165,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00198545625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004623675,0.025104590188125,2.1227500000000004,0.032000107899375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077462434,0.025370003,-0.1028434,-1.096300000000272e-05,0.99980969,0.99980969,0.0395560691767525,0.1908192850288484,1.8662071,1.2562532,1.8751739,1.8662077,1.8558956,1.8570802,1.8821337,1.2562532,1.2900776,1.2659713,-0.015926000000000107,0.025053500000000062,0.009718099999999952
166,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.0015743707499999,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0044273249999999,0.0437203877906249,4.81975,0.024670936513125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077563461,0.040330067,-0.11794055,-4.702200000000767e-05,0.99950993,0.99950993,0.0446166804194771,0.3029455996147022,1.8710309,1.2562531,1.865032,1.8710341,1.8051378,1.8154983,1.8814832,1.2562531,1.287285,1.2659224,-0.010449099999999989,0.0659848999999999,0.009669300000000103
167,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00194054775,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004146825,0.0061519185581249,34.03725,0.0372742548656249,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077353093,0.0060908502,-0.083438364,5.579199999994344e-06,0.99842968,0.99842968,0.0571131792742253,0.0458768002210503,1.8771036,1.2562531,1.8761598,1.8773861,1.8476763,1.852686,1.8909398,1.2562531,1.2863943,1.265936,-0.01355369999999989,0.03825379999999989,0.00968290000000005
168,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00200272875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0038663249999999,0.017323165820625,68.64874999999999,0.0060773796093749,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077265082,0.033234688,-0.11050026,-4.900000000057636e-07,0.90327618,0.90327618,0.0365432779193167,0.2506116299164041,1.8988456,1.2562531,1.669953,1.8988633,1.4980557,1.5236312,1.8993318,1.2562531,1.310154,1.2658503,-0.0004684999999999828,0.37570059999999983,0.009597200000000194
169,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00183345825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0062505749999999,0.009897316719375,11.56225,0.012634756040625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077822625,-0.125764,0.047940498,-8.769999999824751e-07,0.97933731,0.97933731,0.2755258406763417,-0.9415499205011336,1.8785048,1.2562531,1.8737904,1.878564,1.8215904,1.8261021,1.8903164,1.2562531,1.3081516,1.2659607,-0.011752399999999996,0.06421429999999995,0.009707600000000038
170,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00175400475,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006643275,0.002887001233125,44.37575,0.048366529719375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077889987,-0.24369351,0.16580218,-1.343000000014749e-06,0.99999998,0.99999998,0.1108218234529812,-1.822867981930134,1.9024907,1.2562531,1.8875799,1.9024907,1.8671813,1.8718748,1.9187166,1.2562531,1.2944897,1.2659602,-0.016225900000000015,0.046841799999999933,0.00970710000000019
171,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00142928175,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005268825,0.039924126275625,8.86525,0.037886144765625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077075547,-0.025397452,-0.051677869,2.259999999920659e-07,0.9999975,0.9999975,0.0602660068029243,-0.191984610694825,1.8874048,1.2562531,1.8857384,1.8874058,1.8567486,1.8599,1.9018157,1.2562531,1.3187178,1.2659974,-0.014409899999999976,0.04191569999999989,0.00974430000000015
172,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00174364125,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003417525,0.025042512504375,1.22375,0.032715881386875,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077206404,0.047724809,-0.12519654,-0.0002653269999999,0.99972525,0.99972525,0.0243325631016541,0.3601502816725985,1.4090415,1.256253,1.4717809,1.4086835,1.3779922,1.3965236,1.3980291,1.256253,1.3196973,1.2658013,0.010654399999999953,0.0015054999999999374,0.009548299999999843
173,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00197854725,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001762575,0.006576652033125,80.33575,0.002295181100625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.076652685,-0.018028042,-0.05860216,2.248299999999676e-05,0.0,0.0,0.0516026607624309,-0.1370295003074748,1.8836819,1.2562531,1.8236369,1.8837304,1.6953935,1.7143625,1.8876947,1.2562531,1.3046535,1.2658932,-0.003964300000000032,0.17333219999999994,0.009640100000000151
174,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00176436825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004876125,0.030859410384375,58.31025,0.031555477228125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077602505,0.013904757,-0.091510656,-3.393999999989905e-06,0.99912812,0.99912812,0.0215410739190721,0.1043952041457202,1.8639352,1.2562531,1.8498676,1.8639592,1.7525036,1.7711054,1.8714482,1.2562531,1.285331,1.2658961,-0.007488999999999857,0.10034279999999995,0.009643000000000068
175,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00165727875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003108975,0.015948653128125,26.845250000000004,0.029901888376875,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077155454,0.031882738,-0.10911055,-7.23579999999946e-05,0.99950206,0.99950206,0.0569743303009686,0.2407586303779575,1.8790123,1.2562531,1.7623515,1.8790342,1.5754068,1.616015,1.8804871,1.2562531,1.27974,1.2658363,-0.0014529000000000902,0.2644721000000001,0.009583200000000014
176,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00161237025,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002351625,0.017114480053125,12.46125,0.015746892534375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076948374,0.0080061922,-0.077739498,0.0072150681999999,0.99509359,0.99509359,0.1104986362292621,0.0606204909677781,1.5652063,1.2562531,1.4742721,1.5652063,1.3601664,1.3814606,1.5652065,1.2562531,1.3130818,1.2658419,-1.9999999989472883e-07,0.1837458999999999,0.009588800000000175
177,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.0015156442499999,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006082275,0.011757493745625,33.138250000000006,0.019949709943125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077873926,-0.10670233,0.028827521,-8.830000000036031e-07,0.99976953,0.99976953,0.3037962321179631,-0.7983157869744835,1.5053021,1.2562531,1.8566453,1.5039616,1.446167,1.4847534,1.5028075,1.2562531,1.2764382,1.2657731,0.0011540999999999357,0.018054100000000073,0.009520000000000195
178,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00173327775,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002435775,0.008601878518125,47.97175,0.013135221159375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07694213,0.012610081,-0.089552098,1.1299999999603297e-07,0.93548978,0.93548978,0.0406247163775081,0.0954875073138113,1.8802052,1.2562531,1.8385749,1.8802065,1.7271481,1.745936,1.8859915,1.2562531,1.3133979,1.2659098,-0.005785000000000151,0.1400555000000001,0.009656700000000074
179,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00182309475,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002744325,0.018738731356875,59.20925,0.025901282390625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077013988,0.018304208,-0.095297394,2.08020000000142e-05,0.98178467,0.98178467,0.0323481382230239,0.1384759056350078,1.5385856,1.256253,1.856667,1.5371729,1.4744349,1.505835,1.536424,1.256253,1.2823304,1.2657906,0.0007489000000000523,0.030588999999999977,0.009537600000000035
180,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00149146275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0047919749999999,0.023864155299375,43.47675,0.0088247813606249,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077645774,0.019569113,-0.097217243,-2.3559999999950287e-06,0.96612332,0.96612332,0.0513083009327606,0.1468406175723223,1.3400457,1.256253,1.3958411,1.3347157,1.2956011,1.3134631,1.313682,1.256253,1.2936275,1.2657801,0.021033700000000044,0.00021889999999991083,0.0095270999999999
181,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00143273625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0038102249999999,0.005462243304375,87.97725,0.007873163173125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077191005,0.031409802,-0.10859778,3.0269999999887887e-06,0.62718339,0.62718339,0.0422417502760338,0.2370780728012681,1.9010911,1.2562531,1.8884782,1.9014068,1.8684506,1.8699696,1.9152166,1.2562531,1.3009612,1.2659798,-0.013809799999999983,0.04524700000000004,0.009726700000000088
182,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00179200425,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002407725,0.021251002201875,74.94175,0.023914909141875,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076905238,0.01111551,-0.087822122,0.0001986259999999,0.98230591,0.98230591,0.1807059258314389,0.0842105217262522,1.4545044,1.256253,1.8566243,1.4524678,1.3646107,1.3752189,1.4015142,1.256253,1.301721,1.2657867,0.05095359999999993,0.026295300000000132,0.009533699999999978
183,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00153291675,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002884575,0.027476947048125,7.51675,0.020482573816875,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077143956,0.025074869,-0.10231877,-9.994500000000406e-05,0.99934395,0.99934395,0.0870030520905211,0.1893780548858799,1.8680378,1.2562531,1.5490134,1.8680378,1.3964944,1.4117178,1.8681268,1.2562531,1.2967655,1.265837,-8.900000000000574e-05,0.45640900000000006,0.0095839000000002
184,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00199236525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002015025,0.003291291459375,31.340250000000005,0.009507643584375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076723429,-0.0052635465,-0.071385325,7.455750000000261e-05,0.94920698,0.94920698,0.0982275320551303,-0.0399708463610941,1.3597237,1.2562531,1.4349285,1.3595523,1.3234654,1.3381815,1.3492021,1.2562531,1.293464,1.2658132,0.010350199999999976,0.011020600000000158,0.009560100000000071
185,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00149837175,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005745675,0.019716714688125,27.294750000000004,0.036666168654375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077823275,-0.073696848,-0.0041306502,-4.2231999999977135e-06,0.99953745,0.99953745,0.0600597729345583,-0.5517372365592237,1.3939481,1.256253,1.3938863,1.3846951,1.3219,1.361527,1.3747175,1.256253,1.3150622,1.2658003,0.009977600000000031,0.013190500000000105,0.009547299999999925
186,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00170909625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002127225,0.006555947908125,38.532250000000005,0.006594769764375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076845316,0.003382099,-0.080794738,-0.000567323,0.49446892,0.49446892,0.0724840359290957,0.0256425847774857,1.4085638,1.256253,1.8566162,1.4053147,1.321807,1.3246184,1.3555753,1.256253,1.297815,1.2657931,0.04973939999999999,0.030956899999999843,0.00954009999999994
187,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00171600525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003922425,0.023060426878125,16.956250000000004,0.030496756314375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077367098,0.05594019,-0.13346814,-0.000160852,0.99993319,0.99993319,0.0227785510178452,0.4212699827628418,1.5433495,1.256253,1.856676,1.5425861,1.5239489,1.5272948,1.5416315,1.256253,1.3010281,1.2658043,0.0009546000000000276,0.014336700000000091,0.00955130000000004
188,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00145000875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002912625,0.006794207521875,25.49675000000001,0.027751563815625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077263894,0.03068665,-0.10800923,-5.868600000000224e-05,0.99864078,0.99864078,0.0686898696300349,0.2314012883252608,1.8774665,1.2562531,1.8808339,1.8774718,1.8572337,1.8569465,1.8928392,1.2562531,1.3027568,1.2659933,-0.015367400000000142,0.0358927,0.009740200000000199
189,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00162618825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005521275,0.051489616235625,15.60775,0.048139582629375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077737622,-0.03826965,-0.039468948,-9.75999999992816e-07,0.9999944,0.9999944,0.0637351054401378,-0.2868244198211953,1.9059306,1.2562531,1.7012614,1.9059306,1.5212686,1.5414083,1.9068964,1.2562531,1.2952264,1.265848,-0.0009657999999999056,0.36548809999999987,0.009594900000000184
190,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00171255075,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004763925,0.0084951501581249,21.90075,0.023334538336875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077603687,0.0053127475,-0.082919681,-3.246499999984276e-06,0.9984785,0.9984785,0.0436716381449402,0.0398868467969577,1.9194967,1.2562531,1.7872089,1.9194977,1.632046,1.6661445,1.9219613,1.2562531,1.323946,1.2658671,-0.0024636000000000102,0.25581680000000007,0.009614000000000011
191,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00197509275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004567575,0.041683118503125,82.13375,0.010669969389375,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077447018,0.0099031486,-0.087350918,-7.513999999986254e-07,0.867167,0.867167,0.0537655113004743,0.0745008933062174,1.9845624,1.2562531,1.9226014,1.984778,1.9528324,1.9538526,1.9981135,1.2562531,1.2924802,1.26598,-0.013335500000000167,0.04426090000000005,0.009726900000000205
192,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00195091125,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0067554749999999,0.0245316630281249,1.6732500000000003,0.043413891200625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077875831,-0.18653825,0.1086619,-5.189999999766215e-07,0.99999999,0.99999999,0.1897563771708239,-1.3955907715714044,1.8682358,1.2562531,1.8710754,1.8682379,1.8387108,1.8463228,1.8849008,1.2562531,1.2825838,1.2659079,-0.016662900000000036,0.038578,0.009654800000000074
193,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00185073075,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0019308749999999,0.010387383421875,40.33025000000001,0.005552086246875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07672913,-0.0053362547,-0.071396899,-4.023699999994301e-06,0.18865093,0.18865093,0.0651244759991561,-0.0405199742979497,1.8673703,1.2562531,1.871703,1.8673732,1.8221532,1.8277569,1.8798178,1.2562531,1.3188364,1.2659771,-0.012444600000000028,0.05206090000000008,0.009724000000000066
194,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00210636375,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003024825,0.019747494391875,69.54775,0.017671405753125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077021464,0.014688964,-0.09171064,-2.119999999994349e-07,0.9844578,0.9844578,0.0354338826163219,0.1111148954548476,1.3539206,1.2562531,1.4370421,1.353848,1.3304177,1.3387906,1.3472876,1.2562531,1.298143,1.2658227,0.006560399999999911,0.008496999999999977,0.009569600000000067
195,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00172982325,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0037821749999999,0.0046663529606249,28.64325,0.0355266316556249,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077323243,0.0092747057,-0.08659754,4.086999999958209e-07,0.99927726,0.99927726,0.0337449784717845,0.0698848378977998,1.906427,1.2562531,1.8703178,1.9064467,1.7950759,1.8044066,1.9153463,1.2562531,1.2990665,1.2659271,-0.008899599999999896,0.11093969999999986,0.009674000000000182
196,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00166073325,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002155275,0.0199917381993749,87.07825,0.021213671360625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076861977,0.002172325,-0.0787992,0.000235102,0.98261487,0.98261487,0.2193745124545899,0.0164666833476203,1.8863419,1.2562531,1.8659847,1.8869845,1.7908267,1.8044813,1.8945075,1.2562531,1.3232737,1.2659452,-0.007522999999999946,0.09002620000000006,0.009692100000000092
197,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00207181875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006474975,0.029334712363125,75.84075,0.0587832224118749,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077811013,-0.16208004,0.084268491,-5.360000000093068e-07,0.99999999,0.99999999,0.2129185783829577,-1.213616160046255,1.8822945,1.2562531,1.8836771,1.8822946,1.857014,1.8598265,1.898171,1.2562531,1.3206173,1.2660048,-0.015876400000000013,0.038344500000000004,0.00975170000000003
198,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00150873525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001482075,0.013155082959375,24.148250000000004,0.008858325223125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076692045,-0.041946731,-0.037315507,-0.0025701929999999,0.72674281,0.72674281,0.071956560798497,-0.3186696382647769,1.8911006,1.2562531,1.8781366,1.891114,1.8349663,1.8408799,1.9035888,1.2562531,1.2991596,1.2659548,-0.012474800000000119,0.06270890000000007,0.009701700000000146
199,8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00204072825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0054371249999999,0.005893435715625,39.880750000000006,0.0097684747031249,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077617058,-0.083469104,0.0058303664,-2.167959999999948e-05,0.99980205,0.99980205,0.0583533863920551,-0.6265582592746983,1.5143014,1.256253,1.8566466,1.5134154,1.4558983,1.4787272,1.503837,1.256253,1.3114741,1.2657894,0.009578399999999876,0.02510980000000007,0.0095364
