ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
0,13187500.0,4370500.0,3353500.0,295500.0,427600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.12980586,0.06646005,-0.18597355,0.01029236,0.99998194,0.93364187,0.020981310491939877
1,9807500.0,5212500.0,4811500.0,336500.0,428400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.070234181,0.11491479,-0.18532222,-0.0001732490000000142,0.99998881,0.95065123,0.0020263775371348798
2,9417500.0,4794500.0,4379500.0,307500.0,442800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.076727371,0.095986071,-0.17275431,-4.086799999999946e-05,0.9999806,0.94961398,0.004083114988239449
3,9222500.0,3548500.0,2867500.0,241500.0,447600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11970189,0.033385035,-0.11330218,0.03978474500000001,0.9999928,0.92508633,0.029687922943622054
4,8052500.0,4680500.0,4433500.0,325500.0,413200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.05485621,0.10333963,-0.15829269,-9.685000000000943e-05,0.99999057,0.9541986,0.0015749699396786162
5,10717500.0,5490500.0,4487500.0,276500.0,425200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.114302,-0.016169277,-0.073307953,0.02482477000000001,0.99670479,0.91148462,0.020749951238540974
6,12407500.0,4765500.0,4028500.0,335500.0,439600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.09862888,0.10526038,-0.20716063,-0.0032713699999999957,0.99998758,0.95509692,0.0038829764817207265
7,10912500.0,4509500.0,3758500.0,254500.0,441200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
8,12992500.0,5190500.0,3893500.0,308500.0,457200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.11941858,0.028813047,-0.14864846,-0.00041683300000000534,0.9999617,0.94107704,0.011944797564662435
9,11822500.0,4311500.0,3434500.0,288500.0,431600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.11958788,0.065095359,-0.17271281,0.011970429000000005,0.99998247,0.94145219,0.013920538742824054
10,12017500.0,5883500.0,5216500.0,327500.0,445200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.098607536,0.11982256,-0.2191324,-0.0007023040000000147,0.99997282,0.94197029,0.004833677421466207
11,11042500.0,5887500.0,5108500.0,311500.0,430000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.096186911,0.059919652,-0.15655086,-0.0004442969999999824,0.99996661,0.94036628,0.010180975145121495
12,11692500.0,4198500.0,3083500.0,301500.0,386000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.10967177,0.035640485,-0.14374021,0.0015720449999999941,0.99999653,0.94895889,0.0048261245647763735
13,11367500.0,5916500.0,5459500.0,261500.0,399600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.13252432,-0.2163022,0.18429504,0.10051716,0.99999876,0.99952147,0.059368030088028774
14,10847500.0,6058500.0,5027500.0,243500.0,444400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
15,9287500.0,5732500.0,4757500.0,250500.0,411600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.11311694,-0.26555044,0.22742713,0.07499363,0.99999998,0.9991122,0.1235139884735102
16,9157500.0,5095500.0,4568500.0,320500.0,418800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.067586108,0.057131653,-0.12498757,-0.00026980899999999586,0.99998469,0.93863927,0.005559023866329515
17,7987500.0,5472500.0,4217500.0,273500.0,423600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.074630823,-0.15447015,0.079839095,-2.3200000000278553e-07,0.99999998,0.99912141,0.24007293235427224
18,10327500.0,3887500.0,3164500.0,303500.0,380400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.091631388,0.070040012,-0.16764285,-0.005971450000000017,0.99999905,0.95606641,0.006152317940346055
19,13642500.0,4488500.0,3569500.0,248500.0,446800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
20,10392500.0,4886500.0,3407500.0,294500.0,446000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.098078788,-0.08084473,-0.017252108,-1.8050000000002092e-05,0.99958251,0.97700134,0.05541301707271079
21,11627500.0,4343500.0,3704500.0,249500.0,417200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
22,8442500.0,5883500.0,4460500.0,326500.0,451600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.058101377,-0.16427481,0.10617262,-8.129999999884063e-07,0.99999998,0.99914003,0.13927035557569264
23,12212500.0,5873500.0,4730500.0,319500.0,449200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.10485083,0.021918158,-0.12699671,-0.00022772200000001352,0.99995946,0.94463712,0.013625547592167959
24,9547500.0,4125500.0,3920500.0,260500.0,398800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11020054,0.11241093,-0.19493018,0.027681289999999997,0.99998685,0.98210855,0.002414704619201254
25,11952500.0,6650500.0,5297500.0,244500.0,382800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
26,11497500.0,5159500.0,3974500.0,263500.0,435600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
27,9352500.0,4896500.0,3515500.0,316500.0,407600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.071678817,-0.10231142,0.030625458,-7.144999999993129e-06,0.99999998,0.99889974,0.20198900375384674
28,12082500.0,6391500.0,5486500.0,242500.0,382000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
29,11302500.0,5854500.0,4865500.0,246500.0,395600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
30,11562500.0,4705500.0,4514500.0,247500.0,442000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
31,9482500.0,6060500.0,5351500.0,334500.0,406800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067037704,-0.010576062,-0.05646571,-4.067999999995964e-06,0.99999983,0.94871942,0.001846135611917436
32,13707500.0,5416500.0,4595500.0,302500.0,402000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.1304591,0.13391782,-0.26482404,-0.00044711999999996754,0.99999024,0.95164095,0.00245455838777213
33,13772500.0,4753500.0,3596500.0,314500.0,410000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.12348639,0.072496601,-0.19816019,-0.0021771990000000185,0.99999916,0.94581844,0.006326215454847708
34,8832500.0,4783500.0,4298500.0,291500.0,436400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.076816503,0.065278608,-0.14256912,-0.00047400899999999746,0.99997761,0.93385776,0.010731910224395135
35,12277500.0,6581500.0,5270500.0,329500.0,398000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.1002639,-0.026846697,-0.07342791,-1.070699999999869e-05,0.99999918,0.95019266,0.0033153602429607286
36,7597500.0,4200500.0,3029500.0,338500.0,450800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.049052964,-0.088421103,0.039366169,-1.970000000003913e-06,0.99999998,0.99901679,0.19697815488112497
37,8637500.0,5286500.0,4325500.0,317500.0,409200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.062403931,-0.081283509,0.01887916,-4.1800000000202786e-07,0.99999998,0.99874806,0.20783571646620508
38,12667500.0,3219500.0,3056500.0,290500.0,440400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.12763484,0.07276343,-0.17383001,0.026568259999999982,0.99994297,0.96572096,0.0022631734238777955
39,13382500.0,5404500.0,4541500.0,284500.0,384400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
40,9872500.0,5095500.0,3812500.0,285500.0,454000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.096844199,-0.080623805,-0.011196666,0.005023728,0.99983524,0.96551612,0.015035559635818228
41,11432500.0,6015500.0,5432500.0,278500.0,414000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.12172909,-0.031926383,-0.018992061,0.07081064599999999,0.99997312,0.96718804,0.18732388273605113
42,8767500.0,4526500.0,3299500.0,292500.0,450000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.075144275,-0.090418679,0.015257292,-1.7112000000004887e-05,0.99999998,0.99866129,0.39043232278266954
43,10002500.0,3819500.0,3488500.0,255500.0,426800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
44,12797500.0,3722500.0,3461500.0,272500.0,443600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.14129894,0.094687207,-0.2052236,0.030762547,0.99998785,0.96876957,0.031140364705162713
45,13577500.0,6593500.0,5324500.0,332500.0,406000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.11125986,0.034760141,-0.1462702,-0.00025019899999997874,0.9999841,0.94913675,0.00784690989896874
46,10587500.0,3365500.0,2894500.0,257500.0,400400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.1257928,0.052172159,-0.11875749,0.05920746900000001,0.99930761,0.96009657,0.03825275067423976
47,10652500.0,3503500.0,3326500.0,297500.0,402800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.099558552,0.090849053,-0.19758015,-0.00717254500000003,0.99998313,0.98904321,0.00041167727657133587
48,10067500.0,2975500.0,2840500.0,309500.0,448400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.084783175,0.072308404,-0.15901271,-0.0019211309999999926,0.99999936,0.97778201,0.0005634898340146056
49,13967500.0,6652500.0,5243500.0,323500.0,412400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.11993551,0.024645852,-0.14479863,-0.00021726800000002044,0.99997544,0.95012501,0.009993837537158441
50,7792500.0,6179500.0,4784500.0,321500.0,391600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.053463641,-0.20360133,0.15016123,2.35410000000158e-05,0.99999911,0.99914654,0.06577189710731436
51,11172500.0,5101500.0,4406500.0,337500.0,424400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.085260636,0.093547807,-0.17995335,-0.0011449070000000283,0.99999848,0.93946241,0.005409681012981465
52,12537500.0,5516500.0,4919500.0,286500.0,438000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
53,8247500.0,4734500.0,4109500.0,331500.0,430800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.055330098,0.0018508229,-0.057192806,-1.188509999999754e-05,0.99999755,0.94853953,0.006049265549172899
54,10522500.0,3377500.0,2948500.0,293500.0,452400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.10039944,0.067909712,-0.18115916,-0.012850007999999996,0.99999235,0.97014274,0.004417941456967774
55,12862500.0,5142500.0,4055500.0,289500.0,458000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.13040811,0.048922343,-0.16223713,0.017093322999999994,0.99980001,0.95032886,0.018672932119610082
56,12602500.0,4886500.0,3785500.0,275500.0,421200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
57,10197500.0,4944500.0,3731500.0,283500.0,426000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.10270879,-0.052438988,-0.040323864,0.009945937999999994,0.99998954,0.93890891,0.004020743062825009
58,8507500.0,3645500.0,3272500.0,267500.0,437200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,0,HEM,0.088404709,0.074891142,-0.15184564,0.011450210999999988,0.99999015,0.95396607,0.007834313935915964
