Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00197509275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00356055,0.0193322732662499,52.91625,0.01143408322875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077811089,0.032808399,-0.11062092,-1.431999999995659e-06,0.93267454,0.93267454,0.0353632805452934,0.2456611210214203
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00153982575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00463665,0.02007982423875,31.789750000000005,0.01461205472625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078079899,0.034039151,-0.11211979,-7.399999999990747e-07,0.99246511,0.99246511,0.0436023290785269,0.2539992073825182
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00205109175,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00413025,0.02943990571875,53.81525,0.0180879135937499,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077911306,0.023875905,-0.10178589,1.320999999998573e-06,0.98824368,0.98824368,0.0374614276911956,0.1785468706022885
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00203381925,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0121693499999999,0.0824865924037499,78.53775,0.0339771294337499,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07896554,-1.0027863,0.92382146,7.000000000756401e-07,0.99594358,0.99594358,0.0093151982385953,-7.398840535729518
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00169873275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00438345,0.02993096370375,59.65875000000001,0.01998447730875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077992967,0.029855404,-0.10784721,1.1609999999995235e-06,0.99387129,0.99387129,0.0268762879849748,0.2230285162631395
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00204072825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0108400499999999,0.0853884288562499,88.42675,0.0137080562287499,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078777353,-0.76339988,0.68461254,-9.986999999989088e-06,0.82848391,0.82848391,0.0259207800457346,-5.646035288226421
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00193363875,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00526965,0.03914072059875,18.30475,0.00903125791125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078077549,-0.015906112,-0.062172068,-6.310000000009364e-07,0.98847886,0.98847886,0.0484058973927897,-0.1186945421112667
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00161927925,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01185285,0.08389358333625,16.956250000000004,0.01321385350125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.079115598,-0.82690665,0.74779924,8.188000000020068e-06,0.99724232,0.99724232,0.0346352953153845,-6.089578794844242
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00164691525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.01368855,0.06953680735875,21.90075,0.05830740536625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.07931588,-1.3192946,1.2399697,-9.02000000002623e-06,0.99997251,0.99997251,0.004262752104,-9.691132303889765
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00148109925,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00957405,0.05389591771875,70.89625000000001,0.02042264540625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.079151023,-0.56796746,0.4888139,-2.536999999969148e-06,0.99468395,0.99468395,0.0462598773665835,-4.180803994314601
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00189563925,0.00141,3.0,35.0,0.0042,42.0,0.02,0.00735855,0.00503563972875,81.23475,0.04941615856125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.078375709,-0.28082476,0.2024521,3.0490000000049644e-06,0.99999996,0.99999996,0.1160109822470453,-2.087597646966868
