,Dmix,Lmix,X,pressure
0,0.004,0.02,0.001881722266666667,3297372.0
1,0.004,0.02,0.006036553666666667,3295536.6666666665
2,0.004,0.02,0.010281849333333332,3291607.0
3,0.004,0.02,0.013815626666666664,3283608.6666666665
4,0.004,0.02,0.01521438,3279654.6666666665
5,0.004,0.02,0.016463290000000002,3265789.3333333335
6,0.004,0.02,0.017730996666666665,3201729.6666666665
7,0.004,0.02,0.019230713333333333,3138417.0
8,0.004,0.02,0.02102134333333333,3152582.3333333335
9,0.004,0.02,0.02276866,3166162.6666666665
10,0.004,0.02,0.024570513333333332,3183092.6666666665
11,0.004,0.02,0.02636037333333333,3215962.3333333335
12,0.004,0.02,0.02811408,3260344.3333333335
13,0.004,0.02,0.029856623333333332,3301903.6666666665
14,0.004,0.02,0.031644113333333335,3336453.3333333335
15,0.004,0.02,0.033400433333333326,3360138.3333333335
16,0.004,0.02,0.035202269999999994,3375012.0
17,0.004,0.02,0.03700409666666667,3381421.3333333335
18,0.004,0.02,0.03912817333333333,3416907.0
19,0.004,0.02,0.042091696666666664,3528694.3333333335
20,0.004,0.02,0.04509893666666667,3603810.6666666665
21,0.004,0.02,0.04810594,3653012.6666666665
22,0.004,0.02,0.05111280666666666,3687197.3333333335
23,0.004,0.02,0.054119596666666665,3711939.0
24,0.004,0.02,0.05712638999999999,3730313.3333333335
25,0.004,0.02,0.06013318,3744235.0
26,0.004,0.02,0.06313995333333335,3754954.3333333335
27,0.004,0.02,0.06614672666666667,3763327.0
28,0.004,0.02,0.06915347333333331,3769950.6666666665
29,0.004,0.02,0.07216026333333334,3775258.3333333335
30,0.004,0.02,0.07516708666666666,3779561.3333333335
31,0.004,0.02,0.07817389,3783087.6666666665
32,0.004,0.02,0.08118068333333334,3786006.6666666665
33,0.004,0.02,0.08418758333333333,3788446.3333333335
34,0.004,0.02,0.08719460333333334,3790498.6666666665
35,0.004,0.02,0.09020161666666664,3792242.6666666665
36,0.004,0.02,0.09320861999999999,3793730.0
37,0.004,0.02,0.09621565000000001,3795001.3333333335
38,0.004,0.02,0.09922267333333336,3796105.0
39,0.004,0.02,0.10222976666666667,3797077.0
40,0.004,0.02,0.10523676666666668,3797910.0
41,0.004,0.02,0.10824379999999999,3798616.3333333335
42,0.004,0.02,0.11125059999999999,3799223.3333333335
43,0.004,0.02,0.11429423333333334,3799760.3333333335
44,0.004,0.02,0.11778036666666665,3799914.6666666665
45,0.004,0.02,0.12139483333333337,3799962.3333333335
