,Dmix,Lmix,X,pressure
0,0.0045,0.04,0.006601993433333332,8499254.666666666
1,0.0045,0.04,0.015263046666666669,8495337.0
2,0.0045,0.04,0.02184662,7887531.666666667
3,0.0045,0.04,0.025251206666666668,5326584.0
4,0.0045,0.04,0.026761693333333333,3019661.0
5,0.0045,0.04,0.027981986666666667,3632496.3333333335
6,0.0045,0.04,0.029174650000000003,2955641.0
7,0.0045,0.04,0.030548376666666665,3428902.6666666665
8,0.0045,0.04,0.03241002,3346299.3333333335
9,0.0045,0.04,0.03437904666666667,3331283.6666666665
10,0.0045,0.04,0.03635016333333333,3412665.0
11,0.0045,0.04,0.03827296000000001,3543038.3333333335
12,0.0045,0.04,0.04015014000000001,3636599.3333333335
13,0.0045,0.04,0.04201277999999999,3676060.0
14,0.0045,0.04,0.04392535333333334,3686825.0
15,0.0045,0.04,0.04587836,3687056.3333333335
16,0.0045,0.04,0.04790547666666666,3684098.6666666665
17,0.0045,0.04,0.04993255666666667,3680624.0
18,0.0045,0.04,0.05195964,3677347.6666666665
19,0.0045,0.04,0.05398666333333333,3674365.6666666665
20,0.0045,0.04,0.05601367666666667,3671631.6666666665
21,0.0045,0.04,0.05804073333333333,3669087.3333333335
22,0.0045,0.04,0.060067760000000005,3666713.6666666665
23,0.0045,0.04,0.06209479,3664475.3333333335
24,0.0045,0.04,0.06412185333333333,3662330.6666666665
25,0.0045,0.04,0.06614893000000001,3660266.0
26,0.0045,0.04,0.06817601666666667,3658381.0
27,0.0045,0.04,0.07029592333333334,3662041.0
28,0.0045,0.04,0.07314522999999999,3689780.6666666665
29,0.0045,0.04,0.07615021,3715858.6666666665
30,0.0045,0.04,0.07908830666666665,3734396.6666666665
31,0.0045,0.04,0.0820599,3748150.3333333335
32,0.0045,0.04,0.08506470000000001,3758659.3333333335
33,0.0045,0.04,0.08806947333333334,3766713.6666666665
34,0.0045,0.04,0.09097524333333332,3772752.3333333335
35,0.0045,0.04,0.09397865666666667,3777656.6666666665
36,0.0045,0.04,0.09698331666666665,3781584.3333333335
37,0.0045,0.04,0.09995810333333334,3784735.0
38,0.0045,0.04,0.10289246666666665,3787252.6666666665
39,0.0045,0.04,0.10589713333333335,3789384.3333333335
40,0.0045,0.04,0.10890179999999999,3791162.3333333335
41,0.0045,0.04,0.11190646666666666,3792657.3333333335
42,0.0045,0.04,0.11491109999999999,3793924.6666666665
43,0.0045,0.04,0.1178313,3794975.3333333335
44,0.0045,0.04,0.12082066666666667,3795894.6666666665
45,0.0045,0.04,0.12382556666666664,3796697.0
46,0.0045,0.04,0.12683049999999998,3797395.0
47,0.0045,0.04,0.12983556666666665,3798004.3333333335
48,0.0045,0.04,0.1328408,3798540.3333333335
49,0.0045,0.04,0.13577076666666668,3798998.6666666665
50,0.0045,0.04,0.13875136666666668,3799399.0
51,0.0045,0.04,0.14182803333333335,3799714.3333333335
52,0.0045,0.04,0.14531613333333332,3799887.3333333335
53,0.0045,0.04,0.148857,3799957.3333333335
