,Dmix,Lmix,X,pressure
0,0.003,0.03,0.0053516005,8499359.333333334
1,0.003,0.03,0.013172493333333334,8498297.0
2,0.003,0.03,0.018640570000000002,8481134.333333334
3,0.003,0.03,0.0236035,7087876.0
4,0.003,0.03,0.025753786666666667,4989955.333333333
5,0.003,0.03,0.026801776666666673,3215423.0
6,0.003,0.03,0.027622403333333337,3231471.3333333335
7,0.003,0.03,0.028486896666666664,3383860.0
8,0.003,0.03,0.02926332333333333,3198637.6666666665
9,0.003,0.03,0.030110073333333334,3218043.6666666665
10,0.003,0.03,0.031129283333333334,2954567.6666666665
11,0.003,0.03,0.032402766666666666,3018896.6666666665
12,0.003,0.03,0.03369060666666667,3023349.0
13,0.003,0.03,0.03500120666666666,3102257.3333333335
14,0.003,0.03,0.03630178,3195399.3333333335
15,0.003,0.03,0.03760413666666666,3271919.3333333335
16,0.003,0.03,0.03892754333333333,3294945.6666666665
17,0.003,0.03,0.0402405,3287249.0
18,0.003,0.03,0.04159188666666667,3264739.6666666665
19,0.003,0.03,0.04294326999999999,3235689.3333333335
20,0.003,0.03,0.04429466,3203645.0
21,0.003,0.03,0.04564604666666667,3170169.3333333335
22,0.003,0.03,0.04699739333333333,3135431.3333333335
23,0.003,0.03,0.04834874,3099653.0
24,0.003,0.03,0.04970012333333333,3062981.0
25,0.003,0.03,0.051051513333333326,3024301.3333333335
26,0.003,0.03,0.0524029,2983428.6666666665
27,0.003,0.03,0.053754286666666665,2940032.3333333335
28,0.003,0.03,0.05510566666666666,2891901.3333333335
29,0.003,0.03,0.05645705666666667,2838211.6666666665
30,0.003,0.03,0.05780843666666667,2773174.6666666665
31,0.003,0.03,0.059159790000000004,2683669.6666666665
32,0.003,0.03,0.06064273333333334,2619227.3333333335
33,0.003,0.03,0.06322543666666666,3111628.3333333335
34,0.003,0.03,0.06610603333333334,3354531.3333333335
35,0.003,0.03,0.06900358666666667,3485641.0
36,0.003,0.03,0.07198902333333333,3570102.0
37,0.003,0.03,0.07499719333333334,3628072.6666666665
38,0.003,0.03,0.07800579333333334,3669397.0
39,0.003,0.03,0.08101477666666666,3700108.3333333335
40,0.003,0.03,0.08401925,3723565.6666666665
41,0.003,0.03,0.08693363666666667,3741066.3333333335
42,0.003,0.03,0.08991008999999998,3754875.6666666665
43,0.003,0.03,0.09285457666666666,3765149.6666666665
44,0.003,0.03,0.09577821666666668,3772726.6666666665
45,0.003,0.03,0.09877579333333332,3778371.3333333335
46,0.003,0.03,0.10171143333333332,3782550.6666666665
47,0.003,0.03,0.10469536666666666,3785801.3333333335
48,0.003,0.03,0.10770476666666666,3788403.0
49,0.003,0.03,0.11071396666666668,3790501.0
50,0.003,0.03,0.11372300000000002,3792219.0
51,0.003,0.03,0.116732,3793642.6666666665
52,0.003,0.03,0.1197411,3794830.3333333335
53,0.003,0.03,0.1227501,3795827.3333333335
54,0.003,0.03,0.12575899999999998,3796669.0
55,0.003,0.03,0.12876800000000002,3797383.0
56,0.003,0.03,0.131777,3797992.6666666665
57,0.003,0.03,0.134786,3798521.0
58,0.003,0.03,0.137795,3798978.6666666665
59,0.003,0.03,0.14080400000000004,3799377.6666666665
60,0.003,0.03,0.1438127333333333,3799730.3333333335
61,0.003,0.03,0.14693610000000001,3799988.6666666665
62,0.003,0.03,0.1505063,3800017.0
63,0.003,0.03,0.15412079999999997,3800007.3333333335
