,Dmix,Lmix,X,velocity
0,0.004,0.03,0.0018811689,6.695682333333333
1,0.004,0.03,0.005999678,8.971526
2,0.004,0.03,0.010281405333333334,12.40900333333333
3,0.004,0.03,0.013815490000000001,17.444803333333333
4,0.004,0.03,0.015213640000000002,19.657049999999995
5,0.004,0.03,0.016464963333333336,24.584846666666667
6,0.004,0.03,0.01770132666666667,38.811166666666665
7,0.004,0.03,0.01911361333333333,49.95245666666667
8,0.004,0.03,0.02086310333333333,46.49465666666666
9,0.004,0.03,0.022623683333333332,47.62979333333333
10,0.004,0.03,0.024398053333333336,50.69106333333333
11,0.004,0.03,0.02613558,45.74731
12,0.004,0.03,0.02786472666666667,44.817573333333335
13,0.004,0.03,0.02960094333333333,49.395160000000004
14,0.004,0.03,0.03137589666666667,55.555626666666655
15,0.004,0.03,0.03317958,60.54123666666668
16,0.004,0.03,0.03498323666666667,63.809139999999985
17,0.004,0.03,0.03678689,65.73936666666667
18,0.004,0.03,0.03859054,66.86048999999998
19,0.004,0.03,0.04039419666666666,67.53272333333334
20,0.004,0.03,0.042197846666666664,67.95178666666668
21,0.004,0.03,0.044001500000000006,68.21088666666665
22,0.004,0.03,0.045805139999999994,68.35816999999999
23,0.004,0.03,0.04761124666666668,68.75756666666666
24,0.004,0.03,0.050091376666666666,60.25268666666666
25,0.004,0.03,0.05309778,47.92609
26,0.004,0.03,0.056104313333333336,38.95043333333333
27,0.004,0.03,0.059110909999999996,32.46377333333333
28,0.004,0.03,0.06211759000000001,27.630110000000002
29,0.004,0.03,0.06508976333333333,23.930243333333337
30,0.004,0.03,0.06803087333333332,21.059816666666666
31,0.004,0.03,0.07103763333333335,18.672016666666664
32,0.004,0.03,0.07404445000000001,16.720336666666665
33,0.004,0.03,0.07705127333333334,15.108803333333332
34,0.004,0.03,0.08005821666666665,13.76331
35,0.004,0.03,0.08306522333333334,12.623479999999999
36,0.004,0.03,0.08607224999999999,11.641033333333331
37,0.004,0.03,0.08898068000000002,10.814666666666664
38,0.004,0.03,0.09198603666666667,10.061795333333333
39,0.004,0.03,0.09499307666666668,9.416600666666666
40,0.004,0.03,0.09800028,8.862279666666666
41,0.004,0.03,0.10100741666666666,8.363399666666668
42,0.004,0.03,0.10401446666666667,7.891651666666667
43,0.004,0.03,0.10702146666666666,7.4425453333333325
44,0.004,0.03,0.11002850000000002,7.020887333333333
45,0.004,0.03,0.11303550000000001,6.630929666666668
46,0.004,0.03,0.1160425,6.274167666666667
47,0.004,0.03,0.11904953333333333,5.948735333333333
48,0.004,0.03,0.1220565,5.643921999999999
49,0.004,0.03,0.1251786666666667,5.433114666666668
50,0.004,0.03,0.12874873333333334,5.646807000000001
51,0.004,0.03,0.13236339999999996,5.837702000000001
