,Dmix,Lmix,X,pressure
0,0.004,0.01,0.006144941366666668,8499276.666666666
1,0.004,0.01,0.014438883333333334,8496740.333333334
2,0.004,0.01,0.020643326666666666,8312388.666666667
3,0.004,0.01,0.024663883333333334,5773072.666666667
4,0.004,0.01,0.02631482,3721635.0
5,0.004,0.01,0.02740429333333333,2932845.3333333335
6,0.004,0.01,0.028501219999999997,3571215.3333333335
7,0.004,0.01,0.0295987,3310339.6666666665
8,0.004,0.01,0.03098442666666667,3115147.6666666665
9,0.004,0.01,0.03268086333333333,3161803.3333333335
10,0.004,0.01,0.034481533333333335,3181396.0
11,0.004,0.01,0.036276369999999995,3200610.3333333335
12,0.004,0.01,0.03803589666666666,3235431.0
13,0.004,0.01,0.039885079999999996,3290302.6666666665
14,0.004,0.01,0.04256527,3409642.3333333335
15,0.004,0.01,0.045538913333333327,3524644.6666666665
16,0.004,0.01,0.04847115333333333,3605746.6666666665
17,0.004,0.01,0.05135964333333333,3662339.6666666665
18,0.004,0.01,0.05426814,3696841.0
19,0.004,0.01,0.05719057666666667,3720668.3333333335
20,0.004,0.01,0.060195183333333326,3737857.0
21,0.004,0.01,0.06319952333333333,3750426.6666666665
22,0.004,0.01,0.06620372000000001,3760018.3333333335
23,0.004,0.01,0.06920784333333334,3767514.3333333335
24,0.004,0.01,0.07221192333333334,3773463.3333333335
25,0.004,0.01,0.07521599,3778244.0
26,0.004,0.01,0.07821997333333335,3782122.0
27,0.004,0.01,0.08122389666666668,3785295.3333333335
28,0.004,0.01,0.08422781,3787914.3333333335
29,0.004,0.01,0.08723173333333331,3790096.0
30,0.004,0.01,0.09023562666666665,3791930.3333333335
31,0.004,0.01,0.09323950999999998,3793479.6666666665
32,0.004,0.01,0.09624339666666665,3794791.0
33,0.004,0.01,0.09918534000000001,3795888.0
34,0.004,0.01,0.10215103333333334,3796837.6666666665
35,0.004,0.01,0.10515493333333333,3797664.0
36,0.004,0.01,0.10815879999999999,3798375.3333333335
37,0.004,0.01,0.11116266666666666,3798986.0
38,0.004,0.01,0.11416656666666666,3799489.3333333335
39,0.004,0.01,0.11732700000000001,3799827.0
40,0.004,0.01,0.12091716666666666,3799952.0
41,0.004,0.01,0.12453166666666665,3799987.0
