,Dmix,Lmix,X,velocity
0,0.005,0.05,0.006853302700000003,1.5052533333333336
1,0.005,0.05,0.0157705,4.043958333333334
2,0.005,0.05,0.022405100000000004,44.81485566666665
3,0.005,0.05,0.025420086666666668,104.94784000000001
4,0.005,0.05,0.02702104333333333,166.30336666666668
5,0.005,0.05,0.028483136666666665,140.66887000000003
6,0.005,0.05,0.030113539999999998,126.93881000000002
7,0.005,0.05,0.03229174666666666,136.34393333333333
8,0.005,0.05,0.034544023333333326,124.95166666666665
9,0.005,0.05,0.03679629666666666,97.90317333333333
10,0.005,0.05,0.03904857000000001,62.05819666666666
11,0.005,0.05,0.041300840000000005,35.391169999999995
12,0.005,0.05,0.04355311666666666,25.33177333333333
13,0.005,0.05,0.04580539000000001,23.061073333333336
14,0.005,0.05,0.04805766666666667,22.51731
15,0.005,0.05,0.05030993666666667,22.351273333333335
16,0.005,0.05,0.05256221333333333,22.295460000000002
17,0.005,0.05,0.054814486666666676,22.279776666666674
18,0.005,0.05,0.05706675333333334,22.280753333333337
19,0.005,0.05,0.05931900999999999,22.289663333333333
20,0.005,0.05,0.06157127666666667,22.304056666666668
21,0.005,0.05,0.06382356666666666,22.323686666666664
22,0.005,0.05,0.06607591333333333,22.348450000000003
23,0.005,0.05,0.06832825666666667,22.377946666666666
24,0.005,0.05,0.0705806,22.411499999999997
25,0.005,0.05,0.07283294666666666,22.44833
26,0.005,0.05,0.07508529000000001,22.487056666666664
27,0.005,0.05,0.07733763666666668,22.51015
28,0.005,0.05,0.07962671333333332,22.237489999999998
29,0.005,0.05,0.08245410333333332,20.704493333333335
30,0.005,0.05,0.08545921333333333,18.806279999999997
31,0.005,0.05,0.08846432,17.204600000000003
32,0.005,0.05,0.09146936666666666,15.866493333333334
33,0.005,0.05,0.09447440666666666,14.74137
34,0.005,0.05,0.09747944666666666,13.788626666666666
35,0.005,0.05,0.10048450666666667,12.975813333333333
36,0.005,0.05,0.1034895,12.276756666666667
37,0.005,0.05,0.10649453333333332,11.67002
38,0.005,0.05,0.10949966666666668,11.13807
39,0.005,0.05,0.11250466666666667,10.666226666666669
40,0.005,0.05,0.11550966666666665,10.242033333333335
41,0.005,0.05,0.1185147,9.854623666666667
42,0.005,0.05,0.12151983333333333,9.493846
43,0.005,0.05,0.12452483333333332,9.150038333333333
44,0.005,0.05,0.1275299,8.812948666666665
45,0.005,0.05,0.13053499999999998,8.472148666666667
46,0.005,0.05,0.13354016666666665,8.116733333333332
47,0.005,0.05,0.1365452666666667,7.737283
48,0.005,0.05,0.13955036666666665,7.3284086666666655
49,0.005,0.05,0.1425555,6.893216333333333
50,0.005,0.05,0.14556466666666668,6.449686666666667
51,0.005,0.05,0.14894153333333332,5.989359666666667
52,0.005,0.05,0.15255613333333332,5.562710000000001
