,Unnamed: 0,Dmix,Lmix,X,pressure
39,39,0.003,0.02,0.072655885,3760941.5
40,40,0.003,0.02,0.074569365,3765702.5
41,41,0.003,0.02,0.07656684,3769956.5
42,42,0.003,0.02,0.07857238,3773652.5
43,43,0.003,0.02,0.0805779299999999,3776858.5
44,44,0.003,0.02,0.082583475,3779653.5
45,45,0.003,0.02,0.084589025,3782100.0
46,46,0.003,0.02,0.08659457,3784249.5
47,47,0.003,0.02,0.088600125,3786136.0
48,48,0.003,0.02,0.0906057349999999,3787795.5
49,49,0.003,0.02,0.092611485,3789305.5
50,50,0.003,0.02,0.0946174099999999,3790701.0
51,51,0.003,0.02,0.09662354,3791954.5
52,52,0.003,0.02,0.09862974,3793073.5
53,53,0.003,0.02,0.10063589,3794073.0
54,54,0.003,0.02,0.1026418499999999,3794953.5
55,55,0.003,0.02,0.10464775,3795735.5
56,56,0.003,0.02,0.1066535499999999,3796431.0
57,57,0.003,0.02,0.1086592999999999,3797053.5
58,58,0.003,0.02,0.1106649,3797615.5
59,59,0.003,0.02,0.1126704999999999,3798123.0
60,60,0.003,0.02,0.1146760999999999,3798582.5
61,61,0.003,0.02,0.1166816499999999,3799000.0
62,62,0.003,0.02,0.11868715,3799377.0
63,63,0.003,0.02,0.1206924999999999,3799704.5
64,64,0.003,0.02,0.12289,3799903.0
65,65,0.003,0.02,0.1252996499999999,3799956.5
66,66,0.003,0.02,0.1277095,3799976.0
67,67,0.003,0.02,0.1301192,3799992.0
0,0,0.0035,0.01,0.00351854375,8499342.5
1,1,0.0035,0.01,0.010185317,8499268.5
2,2,0.0035,0.01,0.0140822749999999,8497873.5
3,3,0.0035,0.01,0.01772882,8490804.5
4,4,0.0035,0.01,0.021375695,8392771.5
5,5,0.0035,0.01,0.0242615849999999,6469939.5
6,6,0.0035,0.01,0.025491005,5316532.5
7,7,0.0035,0.01,0.02641123,3771131.0
8,8,0.0035,0.01,0.026931515,3234135.5
9,9,0.0035,0.01,0.0274742199999999,3212656.5
10,10,0.0035,0.01,0.028065095,3258332.5
11,11,0.0035,0.01,0.02862089,3431786.5
12,12,0.0035,0.01,0.029129225,3202827.5
13,13,0.0035,0.01,0.029669535,3159021.5
14,14,0.0035,0.01,0.0302562999999999,3211249.0
15,15,0.0035,0.01,0.03091749,2925196.0
16,16,0.0035,0.01,0.03176856,2794602.0
17,17,0.0035,0.01,0.032669935,2944016.0
18,18,0.0035,0.01,0.033549865,2900762.0
19,19,0.0035,0.01,0.0344275,2950581.5
20,20,0.0035,0.01,0.0352982799999999,3002381.0
21,21,0.0035,0.01,0.03617343,3061668.0
22,22,0.0035,0.01,0.0370409299999999,3123742.0
23,23,0.0035,0.01,0.03790939,3158884.5
24,24,0.0035,0.01,0.03879805,3167870.0
25,25,0.0035,0.01,0.03969903,3160007.5
26,26,0.0035,0.01,0.040599955,3141575.5
27,27,0.0035,0.01,0.041500875,3117265.0
28,28,0.0035,0.01,0.0424018,3089500.0
29,29,0.0035,0.01,0.043302725,3059014.5
30,30,0.0035,0.01,0.04420365,3025577.0
31,31,0.0035,0.01,0.045104575,2989098.5
32,32,0.0035,0.01,0.0460055,2949802.0
33,33,0.0035,0.01,0.0469064,2905471.5
34,34,0.0035,0.01,0.04780728,2854966.0
35,35,0.0035,0.01,0.04868462,2795622.0
36,36,0.0035,0.01,0.049564025,2713486.0
37,37,0.0035,0.01,0.05051998,2444955.0
38,38,0.0035,0.01,0.05218634,2711242.0
39,39,0.0035,0.01,0.0540899899999999,3140417.5
40,40,0.0035,0.01,0.05607442,3327301.5
41,41,0.0035,0.01,0.058079795,3445554.0
42,42,0.0035,0.01,0.0600855,3525291.5
43,43,0.0035,0.01,0.06209128,3582053.0
44,44,0.0035,0.01,0.064097055,3624084.0
45,45,0.0035,0.01,0.06610284,3656098.0
46,46,0.0035,0.01,0.06810858,3681050.0
47,47,0.0035,0.01,0.070114365,3700801.0
48,48,0.0035,0.01,0.0721202049999999,3716640.5
49,49,0.0035,0.01,0.074126055,3729511.0
50,50,0.0035,0.01,0.07613193,3740103.0
51,51,0.0035,0.01,0.07813785,3748901.5
52,52,0.0035,0.01,0.0801438499999999,3756243.5
53,53,0.0035,0.01,0.08214985,3762384.0
54,54,0.0035,0.01,0.08415585,3767562.0
55,55,0.0035,0.01,0.08616186,3771977.5
56,56,0.0035,0.01,0.08816799,3775743.5
57,57,0.0035,0.01,0.09017416,3778939.0
58,58,0.0035,0.01,0.09218045,3781679.0
59,59,0.0035,0.01,0.09417607,3784060.0
60,60,0.0035,0.01,0.096092995,3786019.5
61,61,0.0035,0.01,0.098099365,3787786.0
62,62,0.0035,0.01,0.100105605,3789321.5
63,63,0.0035,0.01,0.1021117,3790664.0
64,64,0.0035,0.01,0.10411775,3791843.5
65,65,0.0035,0.01,0.10612365,3792879.5
66,66,0.0035,0.01,0.1081294999999999,3793795.5
67,67,0.0035,0.01,0.1101353,3794607.5
68,68,0.0035,0.01,0.1121409999999999,3795328.5
69,69,0.0035,0.01,0.1141467,3795972.0
70,70,0.0035,0.01,0.1161522999999999,3796545.5
71,71,0.0035,0.01,0.1181579,3797062.0
72,72,0.0035,0.01,0.1201634499999999,3797525.0
73,73,0.0035,0.01,0.1221271999999999,3797932.0
74,74,0.0035,0.01,0.1240743,3798297.5
75,75,0.0035,0.01,0.12607975,3798638.0
76,76,0.0035,0.01,0.1280852499999999,3798946.0
77,77,0.0035,0.01,0.13009065,3799226.5
78,78,0.0035,0.01,0.13209615,3799483.0
79,79,0.0035,0.01,0.1341016,3799716.0
80,80,0.0035,0.01,0.13612805,3799907.5
81,81,0.0035,0.01,0.13844585,3799985.5
82,82,0.0035,0.01,0.1408555,3799996.5
83,83,0.0035,0.01,0.1432654,3800000.0
0,0,0.0035,0.02,0.00380001065,8499342.5
1,1,0.0035,0.02,0.0107348134999999,8499210.0
2,2,0.0035,0.02,0.01484748,8497233.5
3,3,0.0035,0.02,0.018814215,8483566.5
4,4,0.0035,0.02,0.02270322,8028000.5
5,5,0.0035,0.02,0.0247023,5835227.0
6,6,0.0035,0.02,0.025911415,4979457.5
7,7,0.0035,0.02,0.0267129749999999,3251006.0
8,8,0.0035,0.02,0.02732221,3227006.5
9,9,0.0035,0.02,0.0279880749999999,3209809.5
10,10,0.0035,0.02,0.0286806449999999,3306208.0
11,11,0.0035,0.02,0.029296085,3183972.0
12,12,0.0035,0.02,0.029944405,3126788.0
13,13,0.0035,0.02,0.030656675,3042650.5
14,14,0.0035,0.02,0.03158497,2854730.0
15,15,0.0035,0.02,0.032627585,2928895.5
16,16,0.0035,0.02,0.033680505,2907480.0
17,17,0.0035,0.02,0.034697785,2931659.5
18,18,0.0035,0.02,0.03573349,2946733.5
19,19,0.0035,0.02,0.03674256,2971058.0
20,20,0.0035,0.02,0.037781595,3005374.0
21,21,0.0035,0.02,0.03878684,3040919.0
22,22,0.0035,0.02,0.0398255799999999,3066621.0
23,23,0.0035,0.02,0.04083985,3078551.0
24,24,0.0035,0.02,0.0418926049999999,3081264.0
25,25,0.0035,0.02,0.04291098,3077202.5
26,26,0.0035,0.02,0.043945345,3068477.5
27,27,0.0035,0.02,0.044997985,3056481.5
28,28,0.0035,0.02,0.046050625,3042389.5
29,29,0.0035,0.02,0.047103285,3026972.0
30,30,0.0035,0.02,0.048155915,3010853.5
31,31,0.0035,0.02,0.04920857,2994448.5
32,32,0.0035,0.02,0.050248745,2979744.0
33,33,0.0035,0.02,0.0516673999999999,3104770.0
