,Unnamed: 0,Dmix,Lmix,X,velocity
40,40,0.003,0.02,0.0756413,27.495285000000003
41,41,0.003,0.02,0.0776459499999999,26.18346
42,42,0.003,0.02,0.07965061,24.98281
43,43,0.003,0.02,0.0816337599999999,23.88884
44,44,0.003,0.02,0.0835596,22.911215
45,45,0.003,0.02,0.08556421,21.95867
46,46,0.003,0.02,0.08756885,21.02701
47,47,0.003,0.02,0.08957354,20.04092
48,48,0.003,0.02,0.0915782449999999,19.067855
49,49,0.003,0.02,0.09358295,18.149805000000004
50,50,0.003,0.02,0.095587655,17.290680000000002
51,51,0.003,0.02,0.09759236,16.488490000000002
52,52,0.003,0.02,0.09959705,15.744875
53,53,0.003,0.02,0.1016017999999999,15.065765
54,54,0.003,0.02,0.1036064499999999,14.45016
55,55,0.003,0.02,0.10561115,13.890535
56,56,0.003,0.02,0.1076158999999999,13.378494999999996
57,57,0.003,0.02,0.1096206,12.90709
58,58,0.003,0.02,0.1116253,12.47105
59,59,0.003,0.02,0.11363,12.06676
60,60,0.003,0.02,0.1156346499999999,11.69264
61,61,0.003,0.02,0.1176391999999999,11.351395
62,62,0.003,0.02,0.1196438,11.054225
63,63,0.003,0.02,0.1217698,10.809155
64,64,0.003,0.02,0.1241694499999999,10.61847
65,65,0.003,0.02,0.126579,10.481975
66,66,0.003,0.02,0.1289889499999999,10.369265000000002
0,0,0.003,0.03,0.0041304705499999,1.364792
1,1,0.003,0.03,0.0112598224999999,1.7912614999999998
2,2,0.003,0.03,0.01541865,3.3971655000000007
3,3,0.003,0.03,0.019510725,9.7285035
4,4,0.003,0.03,0.023207825,54.35494000000001
5,5,0.003,0.03,0.02485131,97.34912
6,6,0.003,0.03,0.02599446,116.5139
7,7,0.003,0.03,0.026742405,188.65475000000004
8,8,0.003,0.03,0.027443105,152.37804999999997
9,9,0.003,0.03,0.0282031199999999,119.652015
10,10,0.003,0.03,0.028952195,181.70165
11,11,0.003,0.03,0.029751685,119.1343
12,12,0.003,0.03,0.030822895,154.8261
13,13,0.003,0.03,0.032028455,145.15435
14,14,0.003,0.03,0.03323337,143.42159999999998
15,15,0.003,0.03,0.0344382149999999,142.73735000000002
