,Dmix,Lmix,X,pressure
0,0.0035,0.04,0.0057298194,8499264.0
1,0.0035,0.04,0.013694063333333334,8497370.666666666
2,0.0035,0.04,0.01937728,8446058.0
3,0.0035,0.04,0.02388216,6463443.0
4,0.0035,0.04,0.025710573333333334,4894335.666666667
5,0.0035,0.04,0.02681664,1968161.5
6,0.0035,0.04,0.027754606666666664,4330897.0
7,0.0035,0.04,0.028814180000000005,2583828.3333333335
8,0.0035,0.04,0.029926103333333332,3606780.6666666665
9,0.0035,0.04,0.03142482666666667,3065879.0
10,0.0035,0.04,0.03300174666666666,3115292.0
11,0.0035,0.04,0.034578653333333334,3183561.0
12,0.0035,0.04,0.036155570000000005,3258120.3333333335
13,0.0035,0.04,0.03773248666666666,3347203.6666666665
14,0.0035,0.04,0.0393094,3396224.6666666665
15,0.0035,0.04,0.04088631666666666,3411314.6666666665
16,0.0035,0.04,0.042456,3409395.6666666665
17,0.0035,0.04,0.04398758333333334,3399763.3333333335
18,0.0035,0.04,0.0455645,3386766.0
19,0.0035,0.04,0.04714139000000001,3372832.3333333335
20,0.0035,0.04,0.04871822666666667,3358942.0
21,0.0035,0.04,0.05029505,3345402.0
22,0.0035,0.04,0.051871883333333334,3332290.3333333335
23,0.0035,0.04,0.05344871,3319670.3333333335
24,0.0035,0.04,0.05502554333333333,3307401.3333333335
25,0.0035,0.04,0.05660237333333333,3295435.6666666665
26,0.0035,0.04,0.05817923666666666,3283722.6666666665
27,0.0035,0.04,0.05975610666666666,3272215.0
28,0.0035,0.04,0.06133297333333333,3260873.6666666665
29,0.0035,0.04,0.06290986333333333,3249662.0
30,0.0035,0.04,0.06448677666666666,3238551.0
31,0.0035,0.04,0.06606369,3227506.6666666665
32,0.0035,0.04,0.06764060666666667,3216727.3333333335
33,0.0035,0.04,0.06921753333333333,3214177.0
34,0.0035,0.04,0.07149179333333336,3321520.6666666665
35,0.0035,0.04,0.07442924000000001,3470085.3333333335
36,0.0035,0.04,0.07740502333333334,3560740.0
37,0.0035,0.04,0.08041193333333334,3620321.3333333335
38,0.0035,0.04,0.08341884333333334,3661424.3333333335
39,0.0035,0.04,0.08642575333333331,3691199.6666666665
40,0.0035,0.04,0.08943263333333333,3713562.6666666665
41,0.0035,0.04,0.09243947,3730849.6666666665
42,0.0035,0.04,0.0954463,3744530.6666666665
43,0.0035,0.04,0.09845313333333333,3755579.0
44,0.0035,0.04,0.10145996666666666,3764624.3333333335
45,0.0035,0.04,0.10446683333333333,3772051.0
46,0.0035,0.04,0.10747363333333332,3777889.0
47,0.0035,0.04,0.11048046666666665,3782230.3333333335
48,0.0035,0.04,0.11348729999999999,3785693.6666666665
49,0.0035,0.04,0.11649413333333335,3788495.0
50,0.0035,0.04,0.11950096666666668,3790733.0
51,0.0035,0.04,0.12250783333333334,3792545.3333333335
52,0.0035,0.04,0.1255146666666667,3794035.6666666665
53,0.0035,0.04,0.12852156666666667,3795269.6666666665
54,0.0035,0.04,0.1315285,3796302.6666666665
55,0.0035,0.04,0.13450083333333335,3797158.6666666665
56,0.0035,0.04,0.13744206666666664,3797867.6666666665
57,0.0035,0.04,0.14044896666666667,3798471.6666666665
58,0.0035,0.04,0.14345590000000003,3798982.6666666665
59,0.0035,0.04,0.1464628,3799420.6666666665
60,0.0035,0.04,0.14946973333333333,3799767.3333333335
61,0.0035,0.04,0.1527702666666667,3799968.6666666665
62,0.0035,0.04,0.15638473333333333,3800015.3333333335
