,Dmix,Lmix,X,pressure
0,0.004,0.03,0.0017830987999999997,3297807.6666666665
1,0.004,0.03,0.005989682,3296495.3333333335
2,0.004,0.03,0.010268762666666665,3293274.0
3,0.004,0.03,0.013805003333333333,3286476.3333333335
4,0.004,0.03,0.015184950000000001,3283836.6666666665
5,0.004,0.03,0.016394936666666665,3273925.6666666665
6,0.004,0.03,0.017594366666666663,3237498.3333333335
7,0.004,0.03,0.01903962,3191936.0
8,0.004,0.03,0.020810810000000006,3202654.3333333335
9,0.004,0.03,0.022614426666666673,3218667.3333333335
10,0.004,0.03,0.02441808333333333,3243034.0
11,0.004,0.03,0.02617581333333334,3294517.3333333335
12,0.004,0.03,0.027884526666666666,3361302.3333333335
13,0.004,0.03,0.029588569999999998,3428713.6666666665
14,0.004,0.03,0.03132009333333333,3469510.3333333335
15,0.004,0.03,0.03308009333333333,3483275.3333333335
16,0.004,0.03,0.03488377,3483790.3333333335
17,0.004,0.03,0.03668742333333334,3479336.0
18,0.004,0.03,0.03849107666666666,3473469.0
19,0.004,0.03,0.040294733333333346,3467420.3333333335
20,0.004,0.03,0.04209838,3461515.0
21,0.004,0.03,0.043902036666666665,3455787.6666666665
22,0.004,0.03,0.04570567666666668,3450152.0
23,0.004,0.03,0.047502256666666666,3441892.3333333335
24,0.004,0.03,0.049753216666666676,3494312.6666666665
25,0.004,0.03,0.05275710666666667,3581560.3333333335
26,0.004,0.03,0.055763099999999996,3638181.3333333335
27,0.004,0.03,0.058669693333333335,3675867.0
28,0.004,0.03,0.06167493666666666,3703616.3333333335
29,0.004,0.03,0.06468104,3723946.0
30,0.004,0.03,0.06768718666666665,3739174.6666666665
31,0.004,0.03,0.07069336333333333,3750821.3333333335
32,0.004,0.03,0.07369965333333334,3759897.0
33,0.004,0.03,0.07670598000000002,3767092.3333333335
34,0.004,0.03,0.07971235333333333,3772881.3333333335
35,0.004,0.03,0.08271888666666666,3777595.3333333335
36,0.004,0.03,0.08572545,3781465.6666666665
37,0.004,0.03,0.08873202,3784662.6666666665
38,0.004,0.03,0.09173858333333333,3787322.6666666665
39,0.004,0.03,0.09474528666666668,3789563.6666666665
40,0.004,0.03,0.09775208,3791492.6666666665
41,0.004,0.03,0.10075886,3793133.3333333335
42,0.004,0.03,0.10376566666666666,3794499.6666666665
43,0.004,0.03,0.10677226666666666,3795643.3333333335
44,0.004,0.03,0.10977883333333333,3796610.3333333335
45,0.004,0.03,0.11278539999999998,3797436.6666666665
46,0.004,0.03,0.11579196666666666,3798150.3333333335
47,0.004,0.03,0.11879853333333333,3798773.0
48,0.004,0.03,0.1218051,3799320.6666666665
49,0.004,0.03,0.12490320000000002,3799773.6666666665
50,0.004,0.03,0.1283496666666667,3799900.6666666665
51,0.004,0.03,0.1319506,3799962.3333333335
